threshold,precision,recall,f1
0.5,0.03598708690812684,0.4878848743351914,0.06702994881494057
0.4,0.023465292810584223,0.7857962281750958,0.045569789506666916
0.3,0.018229998407213246,0.9901341277184748,0.03580084436479725
0.25,0.017924463303954256,0.9990878863788525,0.03521710264857309
0.2,0.01787264612724039,0.9999435806007537,0.035117612185719356
0.15,0.017864073847126374,0.9999981193533585,0.03510109790981748
0.1,0.01786374915255604,1.0,0.03510047227328585
0.075,0.017863718545478906,1.0,0.03510041318892091
0.01,0.017863714944653195,1.0,0.035100406237832234
0.02,0.017863714944653195,1.0,0.035100406237832234
0.03,0.017863714944653195,1.0,0.035100406237832234
0.04,0.017863714944653195,1.0,0.035100406237832234
0.05,0.017863714944653195,1.0,0.035100406237832234
