feature,importance
segment_length,2979
temperature_2m_mean,1398
windspeed_10m_max,1066
precipitation_sum,842
day_of_week,341
month,281
road_unclassified,204
cos_month,190
sin_day_of_week,190
sin_month,176
road_motorway_link,165
road_residential,157
road_primary,137
road_secondary,120
cos_day_of_week,114
road_motorway,100
road_trunk,99
road_primary_link,96
road_tertiary,91
road_tertiary_link,85
road_trunk_link,70
road_secondary_link,56
road_living_street,26
road_busway,17
