date,total_crashes,total_segments,total_positive_segments,crash_rate,avg_crashes_last_7_days,avg_crashes_last_30_days,temperature_2m_mean,precipitation_sum,windspeed_10m_max,rain_indicator,crashes_7d_avg_city,crashes_30d_avg_city,crash_rate_7d_avg_city,crash_rate_30d_avg_city,day_of_week,month,hidden_state,state_probability_max,state_label
2018-01-01,282,11641,268,0.023022077141139,0.0,0.0,-11.0,0.0,21.6,0.0,282.0,282.0,0.023022077141139,0.023022077141139,0,1,2,1.0,High Risk Regime
2018-01-02,382,11641,369,0.0316983077055235,0.0242247229619448,0.0242247229619448,-7.8,0.0,19.9,0.0,332.0,332.0,0.0273601924233313,0.0273601924233313,1,1,2,1.0,High Risk Regime
2018-01-03,397,11641,376,0.0322996306159264,0.0570397732153595,0.0570397732153595,-6.8,0.0,12.7,0.0,353.6666666666667,353.6666666666667,0.029006671820863,0.029006671820863,2,1,2,1.0,High Risk Regime
2018-01-04,263,11641,255,0.021905334593248,0.0911433725624946,0.0911433725624946,-5.0,20.1,52.4,1.0,331.0,331.0,0.0272313375139592,0.0272313375139592,3,1,2,1.0,High Risk Regime
2018-01-05,384,11641,368,0.0316124044326088,0.1137359333390602,0.1137359333390602,-12.0,0.0,34.6,0.0,341.6,341.6,0.0281075508976892,0.0281075508976892,4,1,2,1.0,High Risk Regime
2018-01-06,343,11641,323,0.0277467571514474,0.1467227901383042,0.1467227901383042,-14.4,0.0,27.6,0.0,341.8333333333333,341.8333333333333,0.0280474186066489,0.0280474186066489,5,1,2,1.0,High Risk Regime
2018-01-07,285,11641,268,0.023022077141139,0.1761876127480457,0.1761876127480457,-14.7,0.0,21.0,0.0,333.7142857142857,333.7142857142857,0.0273295126830046,0.0273295126830046,6,1,2,1.0,High Risk Regime
2018-01-08,435,11641,405,0.0347908255304527,0.2006700455287346,0.2006700455287346,-6.0,1.0,21.3,1.0,355.57142857142856,346.375,0.0290107624529066,0.0282621767889356,0,1,2,1.0,High Risk Regime
2018-01-09,416,11641,399,0.0342754058929645,0.2138132462846834,0.2380379692466283,-0.2,0.0,20.6,0.0,360.42857142857144,354.1111111111111,0.0293789193368267,0.0289303133560499,1,1,2,1.0,High Risk Regime
2018-01-10,417,11641,391,0.0335881797096469,0.2167339575637832,0.2737737307791427,-3.8,0.0,14.0,0.0,363.2857142857143,360.4,0.0295629977787868,0.0293960999914096,2,1,2,1.0,High Risk Regime
2018-01-11,411,11641,394,0.033845889528391,0.2184520230220771,0.3095953955845718,4.5,0.0,14.2,0.0,384.42857142857144,365.0,0.03126879134095,0.0298006263129534,3,1,2,1.0,High Risk Regime
2018-01-12,423,11641,403,0.0346190189846233,0.2311657074134524,0.3449016407525127,11.8,28.9,35.3,1.0,390.0,369.8333333333333,0.0316983077055235,0.0302021590355925,4,1,2,1.0,High Risk Regime
2018-01-13,378,11641,360,0.0309251782492912,0.2345159350571256,0.3812387251954299,2.6,8.8,29.7,1.0,395.0,370.46153846153845,0.0321523678623584,0.0302577758981847,5,1,2,1.0,High Risk Regime
2018-01-14,324,11641,307,0.0263723047848123,0.2375225496091401,0.4137101623571858,-7.4,0.0,23.8,0.0,400.57142857142856,367.1428571428572,0.0326309718114545,0.0299802422472296,6,1,2,1.0,High Risk Regime
2018-01-15,297,11641,285,0.0244824327806889,0.2408727772528133,0.441542822781548,-5.4,0.0,20.2,0.0,380.8571428571428,362.46666666666664,0.031158344275774,0.0296137216161269,0,1,2,1.0,High Risk Regime
2018-01-16,385,11641,373,0.0320419207971823,0.229018125590585,0.4670560948372133,-1.0,0.0,12.7,0.0,376.42857142857144,363.875,0.0308392749763765,0.0297654840649428,1,1,2,1.0,High Risk Regime
2018-01-17,357,11641,341,0.029293016063912,0.2263551241302293,0.5001288549093721,-0.5,6.5,21.0,1.0,367.8571428571428,363.47058823529414,0.030225680169843,0.0297376918295881,2,1,2,1.0,High Risk Regime
2018-01-18,393,11641,368,0.0316124044326088,0.2212009277553474,0.5307963233399192,-4.6,0.0,25.5,0.0,365.2857142857143,365.1111111111111,0.0299066108704455,0.0298418425297559,3,1,2,1.0,High Risk Regime
2018-01-19,366,11641,358,0.0307533717034619,0.2196546688428829,0.5645563095953956,-1.5,0.0,18.1,0.0,357.14285714285717,365.1578947368421,0.0293543755445653,0.0298898177494246,4,1,2,1.0,High Risk Regime
2018-01-20,329,11641,312,0.0268018211493857,0.2147581822867451,0.595996907482175,3.9,0.0,25.7,0.0,350.14285714285717,363.35,0.0287653245302931,0.0297354179194227,5,1,2,1.0,High Risk Regime
2018-01-21,254,11641,243,0.0208744953182716,0.2105489219139249,0.6242590842711108,4.3,0.0,10.8,0.0,340.14285714285717,358.14285714285717,0.0279799231779302,0.0293134692241298,6,1,2,1.0,High Risk Regime
2018-01-22,345,11641,327,0.0280903702431062,0.204535692809896,0.646078515591444,6.3,0.5,12.7,1.0,347.0,357.54545454545456,0.0284953428154184,0.0292578738159014,0,1,2,1.0,High Risk Regime
2018-01-23,334,11641,319,0.0274031440597886,0.2086590499098015,0.6757151447470149,9.0,7.5,35.1,1.0,339.7142857142857,356.5217391304348,0.0278326604243621,0.0291772333917226,1,1,2,1.0,High Risk Regime
2018-01-24,369,11641,350,0.0300661455201443,0.2042779829911519,0.704406837900524,2.6,0.0,26.4,0.0,341.42857142857144,357.0416666666667,0.0279431074895382,0.0292142713970735,2,1,2,1.0,High Risk Regime
2018-01-25,387,11641,366,0.0314405978867794,0.2053088222661283,0.7361051456060476,-2.8,0.0,24.5,0.0,340.57142857142856,358.24,0.0279185636972768,0.0293033244566617,3,1,2,1.0,High Risk Regime
2018-01-26,430,11641,407,0.0349626320762821,0.2047934026286401,0.7693497122240357,-2.5,0.0,13.2,0.0,349.7142857142857,361.0,0.0285198866076797,0.0295209901343395,4,1,2,1.0,High Risk Regime
2018-01-27,330,11641,316,0.0271454342410445,0.2102912120951808,0.8062881195773559,4.9,0.0,27.0,0.0,349.85714285714283,359.85185185185185,0.0285689741922024,0.0294330065827359,5,1,2,1.0,High Risk Regime
2018-01-28,263,11641,251,0.0215617215015892,0.2103771153680955,0.8346361996392062,8.5,4.1,24.0,1.0,351.14285714285717,356.39285714285717,0.0286671493612478,0.0291518892584093,6,1,2,1.0,High Risk Regime
2018-01-29,320,11641,311,0.026715917876471,0.2111502448243278,0.8572287604157719,4.1,0.5,23.2,1.0,347.57142857142856,355.13793103448273,0.028470799023157,0.029067890245239,0,1,2,1.0,High Risk Regime
2018-01-30,347,11641,337,0.0289494029722532,0.2090026630014603,0.8847178077484752,-0.1,2.0,27.3,1.0,349.42857142857144,354.8666666666667,0.0286916931535091,0.0290639406694728,1,1,2,1.0,High Risk Regime
2018-01-31,370,11641,351,0.030152048793059,0.2101194055493514,0.9145262434498754,-3.9,0.0,25.7,0.0,349.57142857142856,357.8,0.0287039650496398,0.0293016063912035,2,1,2,1.0,High Risk Regime
2018-02-01,351,11641,340,0.0292071127909973,0.2102053088222661,0.9220857314663689,2.8,0.1,16.7,1.0,344.42857142857144,356.76666666666665,0.0283848957502423,0.0292185665607193,3,2,2,1.0,High Risk Regime
2018-02-02,380,11641,364,0.03126879134095,0.207112790997337,0.9194227300060132,-2.3,5.4,33.0,1.0,337.2857142857143,356.2,0.0278572042166235,0.0291842052515534,4,2,2,1.0,High Risk Regime
2018-02-03,287,11641,278,0.023881109870286,0.2028176273516021,0.9179623743664632,-4.9,0.0,21.7,0.0,331.14285714285717,357.0,0.027390872163658,0.0292500644274546,5,2,2,1.0,High Risk Regime
2018-02-04,347,11641,329,0.0282621767889356,0.1991237866162701,0.920024052916416,1.8,17.3,19.5,1.0,343.14285714285717,355.76666666666665,0.0283480800618503,0.0291383901726655,6,2,2,1.0,High Risk Regime
2018-02-05,441,11641,418,0.0359075680783437,0.2063396615411047,0.9168456318185724,-0.7,1.5,32.7,1.0,360.42857142857144,359.03333333333336,0.0296611729478321,0.0294104172035621,0,2,2,1.0,High Risk Regime
2018-02-06,317,11641,308,0.026458208057727,0.2167339575637832,0.9252641525642128,-2.0,0.0,10.2,0.0,356.14285714285717,360.1,0.0293052879600427,0.0295249549007817,1,2,2,1.0,High Risk Regime
2018-02-07,405,11641,375,0.0322137273430117,0.2141568593763422,0.9280130572974832,0.8,25.0,26.6,1.0,361.1428571428572,359.1,0.0295998134671788,0.029439051627867,2,2,2,1.0,High Risk Regime
2018-02-08,368,11641,346,0.0297225324284855,0.2171634739283566,0.925435959110042,-2.1,0.1,25.0,1.0,363.57142857142856,357.5,0.0296734448439628,0.029287289179051,3,2,2,1.0,High Risk Regime
2018-02-09,352,11641,335,0.0287775964264238,0.2186238295679065,0.9213126020101364,-1.9,0.1,20.1,1.0,359.57142857142856,355.3333333333333,0.0293175598561733,0.0291269364029436,4,2,2,1.0,High Risk Regime
2018-02-10,344,11641,325,0.0279185636972768,0.216218537926295,0.9157288892706812,5.4,10.7,14.2,1.0,367.7142857142857,353.1,0.0298943389743149,0.0289293588752398,5,2,2,1.0,High Risk Regime
2018-02-11,301,11641,285,0.0244824327806889,0.2211150244824327,0.9099733699853964,9.2,34.3,30.1,1.0,361.1428571428572,349.03333333333336,0.0293543755445653,0.028591472668442,6,2,2,1.0,High Risk Regime
2018-02-12,325,11641,312,0.0268018211493857,0.2171634739283566,0.8994931706898033,6.6,0.5,25.0,1.0,344.57142857142856,347.26666666666665,0.0280535545547142,0.0284540274317784,0,2,2,1.0,High Risk Regime
2018-02-13,391,11641,378,0.0324714371617558,0.2071986942702517,0.8949402972253243,-1.4,0.0,20.1,0.0,355.14285714285717,349.5,0.0289125872838612,0.0286573318443432,1,2,2,1.0,High Risk Regime
2018-02-14,416,11641,389,0.0334163731638175,0.2135555364659393,0.900695816510609,4.5,0.8,21.9,1.0,356.7142857142857,353.46666666666664,0.0290843938296906,0.0289551298571142,2,2,2,1.0,High Risk Regime
2018-02-15,384,11641,361,0.0310110815222059,0.214500472468001,0.9109183059874582,9.6,7.3,20.3,1.0,359.0,353.43333333333334,0.0292684722716506,0.0289207685479483,3,2,2,1.0,High Risk Regime
2018-02-16,373,11641,351,0.030152048793059,0.2158749248346362,0.9108324027145436,9.7,9.7,28.0,1.0,362.0,353.96666666666664,0.0294648226097414,0.0289494029722532,4,2,2,1.0,High Risk Regime
2018-02-17,373,11641,354,0.0304097586118031,0.2176788935658448,0.9122068550811786,0.4,9.7,25.3,1.0,366.1428571428572,353.3,0.0298207075975308,0.0289093147782263,5,2,2,1.0,High Risk Regime
2018-02-18,286,11641,273,0.0234515935057125,0.2201700884803711,0.9104887896228846,1.7,2.5,21.9,1.0,364.0,350.6333333333333,0.0296734448439628,0.0286659221716347,6,2,2,1.0,High Risk Regime
2018-02-19,250,11641,235,0.020187269134954,0.2188815393866506,0.9036165277897088,4.2,2.3,17.6,1.0,353.2857142857143,348.0,0.0287285088419011,0.028445437104487,0,2,2,1.0,High Risk Regime
2018-02-20,304,11641,293,0.0251696589640065,0.2124387939180483,0.8968301692294477,12.3,0.3,21.4,1.0,340.85714285714283,349.6666666666667,0.0276853976707941,0.0285886092260115,1,2,2,1.0,High Risk Regime
2018-02-21,371,11641,355,0.0304956618847178,0.2049652091744695,0.9011253328751826,16.8,11.4,28.6,1.0,334.42857142857144,350.53333333333336,0.0272681532023512,0.0286687856140652,2,2,2,1.0,High Risk Regime
2018-02-22,338,11641,317,0.0272313375139592,0.2010995618933081,0.9033588179709648,6.1,7.4,21.5,1.0,327.85714285714283,350.6666666666667,0.0267281897726017,0.0286630587292042,3,2,2,1.0,High Risk Regime
2018-02-23,328,11641,316,0.0271454342410445,0.197148011339232,0.9037024310626236,3.1,7.0,15.3,1.0,321.42857142857144,349.3,0.0262986734080282,0.0285657016865675,4,2,2,1.0,High Risk Regime
