gmm_cluster,n_segments,total_crashes,avg_crash_rate,crash_volatility,pct_days_with_crash,avg_crashes_last_7_days,avg_crashes_last_30_days,segment_length,lanes,maxspeed,segment_curvature,bearing_change_max,intersection_degree_max,visibility_risk_score,oneway,is_bridge,is_tunnel,is_junction,near_intersection,near_traffic_signal,near_crossing,cluster_label,dominant_road_type
0,1526,44.70511140235911,0.01706235446498723,0.12414778812779856,0.01706235446498723,0.12231604348764288,0.5232771447946197,144.6845509660063,2.1985583224115333,24.841743119266056,0.018812510165292638,10.43705932114443,4.354521625163827,0.15002791916706476,0.5347313237221494,0.0,0.0,0.0,1.0,0.8302752293577982,0.0,Intermediate Risk Group,residential
1,340,121.62647058823529,0.043175596402033584,0.1786473107322335,0.043175596402033584,0.33270146541213275,1.4224033219075662,467.93762811338786,2.3970588235294117,29.433823529411764,0.28247023836519697,14.796740107258353,3.7205882352941178,0.16307835236825596,0.6676470588235294,0.29705882352941176,0.2088235294117647,0.0,0.5794117647058824,0.5088235294117647,0.12941176470588237,High-Risk Persistent Segments,residential
2,2606,32.9224865694551,0.012679893065879924,0.1101593074015345,0.012679893065879924,0.0901146867536814,0.3853269027193045,160.42101549558953,1.0,24.642171910974675,4.0549811691371134e-05,0.7754305377799489,3.9458940905602455,0.11453420138814598,1.0,0.0,0.0,0.0,0.9458940905602455,0.8069838833461244,0.0,Low-Risk Baseline,residential
3,5343,44.6769605090773,0.017078694846037343,0.1242743082259602,0.017078694846037343,0.12220610214381424,0.5227363739163321,111.03621515402887,2.4257907542579074,25.0,3.635205888553101e-05,0.7347536499457229,4.0,0.11598579128944839,0.3060078607523863,0.014972861688190155,0.0,0.0,1.0,0.8620625116975482,0.0,Moderate-Risk Segments,residential
4,1826,63.012595837897045,0.02351554331236842,0.1392812842815742,0.02351554331236842,0.17236621674239172,0.7368988165125393,345.7370702203702,2.868565169769989,33.56516976998905,0.009123553247249342,3.1321258208292164,3.0,0.0936789027901657,0.5651697699890471,0.17798466593647316,0.0,0.0038335158817086527,0.0,0.3729463307776561,0.0,Elevated Risk Corridors,motorway
