segment_id,total_crashes,avg_crash_rate,crash_volatility,pct_days_with_crash,avg_crashes_last_7_days,avg_crashes_last_30_days,segment_length,road_type,lanes,maxspeed,oneway,is_bridge,is_tunnel,is_junction,segment_curvature,bearing_change_max,u_degree,v_degree,intersection_degree_max,near_intersection,near_traffic_signal,near_crossing,curvature_norm,bearing_norm,intersection_norm,visibility_risk_score,gmm_cluster,cluster_probability_max,cluster_label
0,59,0.0222917481423543,0.1476595849729511,0.0222917481423543,0.161517403206883,0.6922174423152131,819.5016661477803,motorway,2.0,50.0,1,0,0,0,0.0054438841664599,1.2611332683115393,3,3,3,0,0,0,0.0010887768332919,0.0072825636354173,0.4285714285714285,0.0890628219017694,4,1.0,Elevated Risk Corridors
1,30,0.0117324990222917,0.1077004355343669,0.0117324990222917,0.0821274931560422,0.3461087211576065,268.1440952459794,motorway_link,1.0,30.0,1,0,0,0,0.0335402491403198,24.553410415751895,3,3,3,0,1,0,0.0067080498280639,0.1417865806193772,0.4285714285714285,0.1451121378932622,4,1.0,Elevated Risk Corridors
3,108,0.040672663277278,0.1975693881982664,0.040672663277278,0.295658975361752,1.2671098944075088,291.83869462800163,motorway,3.0,50.0,1,0,0,0,0.0115013161423345,6.61048962969312,3,3,3,0,0,0,0.0023002632284669,0.0381730564081942,0.4285714285714285,0.1019036135689501,4,1.0,Elevated Risk Corridors
5,123,0.0457567461869378,0.2089979639665115,0.0457567461869378,0.3367227219397731,1.442706296441142,552.4256905079891,motorway,3.0,50.0,1,0,0,0,0.0008783260413522,1.9484600769194456,3,3,3,0,0,0,0.0001756652082704,0.0112516138125782,0.4285714285714285,0.0902851973226252,4,1.0,Elevated Risk Corridors
8,20,0.0078216660148611,0.0881108605116464,0.0078216660148611,0.0547516621040281,0.2268283144309738,86.27431578887493,secondary,3.0,25.0,0,0,0,0,0.0002373767680796,3.0156594699493553,3,3,3,0,1,0,4.747535361593336e-05,0.0174142832835252,0.4285714285714285,0.0926989891691421,4,1.0,Elevated Risk Corridors
27,26,0.0101681658193195,0.1003429714941982,0.0101681658193195,0.0711771607352366,0.3050449745795854,86.01085340862146,primary,3.0,25.0,1,0,0,0,3.458919602050692e-05,1.296960648446941,3,3,3,0,1,0,6.9178392041013835e-06,0.0074894530913395,0.4285714285714285,0.0887128340865031,4,1.0,Elevated Risk Corridors
29,59,0.0230739147438404,0.1501676671558921,0.0230739147438404,0.161517403206883,0.6922174423152131,81.61915885499333,primary,4.0,25.0,1,0,0,0,3.1870484146434563e-05,1.2673606480633453,4,4,4,1,1,0,6.374096829286913e-06,0.0073185243783966,0.5714285714285714,0.1172156736758046,3,0.9999999967124751,Moderate-Risk Segments
30,30,0.0117324990222917,0.1077004355343671,0.0117324990222917,0.0821274931560422,0.3519749706687524,19.292136858252466,residential,2.0,25.0,1,0,0,0,0.0,0.0,4,4,4,1,1,0,0.0,0.0,0.5714285714285714,0.1142857142857142,3,0.9999999785151348,Moderate-Risk Segments
34,59,0.0230739147438404,0.1501676671558922,0.0230739147438404,0.161517403206883,0.6922174423152131,86.55482911524162,tertiary,3.0,25.0,0,0,0,0,9.58857609889563e-06,0.7135206547173709,4,4,4,1,1,0,1.917715219779126e-06,0.0041203096482585,0.5714285714285714,0.1159346052311056,3,0.9999999960286488,Moderate-Risk Segments
36,60,0.0230739147438404,0.150167667155892,0.0230739147438404,0.1642549863120844,0.7039499413375049,87.48023112496006,secondary,3.0,25.0,0,0,0,0,9.819575748082345e-06,0.7328871749528219,3,4,4,1,1,0,1.9639151496164686e-06,0.0042321439163372,0.5714285714285714,0.115979357418309,3,0.9999999686579035,Moderate-Risk Segments
38,26,0.0101681658193195,0.1003429714941981,0.0101681658193195,0.0711771607352366,0.3050449745795854,267.0195791566417,primary,4.0,25.0,0,0,0,0,0.0060217936190409,9.829520904566152,4,4,4,1,1,0,0.0012043587238081,0.0567617343002997,0.5714285714285714,0.1374721514953574,0,1.0,Intermediate Risk Group
40,34,0.0132968322252639,0.1145650885249981,0.0132968322252639,0.0930778255768478,0.3989049667579194,153.18437731392902,primary,4.0,25.0,0,0,0,0,0.0007615777798053,4.296147157917687,4,3,4,1,1,0,0.000152315555961,0.0248086113107945,0.5714285714285714,0.1242700850324165,3,0.9990683564968036,Moderate-Risk Segments
42,26,0.0101681658193195,0.1003429714941983,0.0101681658193195,0.0711771607352366,0.3050449745795854,239.74347624042753,tertiary,2.0,25.0,1,0,0,0,0.0782580809655959,11.44329441622608,3,3,3,0,0,0,0.0156516161931191,0.0660806608460636,0.4285714285714285,0.1184071965299588,4,1.0,Elevated Risk Corridors
50,45,0.0172076652326945,0.1300698962358023,0.0172076652326945,0.1231912397340633,0.5279624560031286,273.3326739091509,residential,1.0,25.0,1,0,0,0,9.62918994984463e-07,0.4024508045680477,4,3,4,1,1,0,1.925837989968926e-07,0.0023239999039242,0.5714285714285714,0.1152153912808035,2,0.9999999916202427,Low-Risk Baseline
53,24,0.0093859992178333,0.0964444913587477,0.0093859992178333,0.0657019945248337,0.2815799765350019,17.094833498217778,residential,1.0,25.0,1,0,0,0,0.0,0.0,4,4,4,1,1,0,0.0,0.0,0.5714285714285714,0.1142857142857142,2,0.9999999896853069,Low-Risk Baseline
64,154,0.0582714118107156,0.2343017793421477,0.0582714118107156,0.4215877982010168,1.8068048494329292,96.32662400558569,secondary,5.0,25.0,0,0,0,0,1.569390875810761e-05,0.8491566919734623,3,4,4,1,1,0,3.138781751621522e-06,0.0049035560325965,0.5714285714285714,0.1162483922114535,3,0.9999999282211175,Moderate-Risk Segments
65,30,0.0117324990222917,0.1077004355343669,0.0117324990222917,0.0821274931560422,0.3515838873680094,171.36273551488048,secondary,3.0,25.0,0,0,0,0,3.010107607614998e-08,0.0482011942776523,3,4,4,1,1,0,6.020215215229996e-09,0.000278343513291,0.5714285714285714,0.1143970540991168,3,0.9999999539437721,Moderate-Risk Segments
67,44,0.0164254986312084,0.1271299426687565,0.0164254986312084,0.1204536566288619,0.516229956980837,22.31490663086506,residential,1.0,25.0,0,0,0,0,4.540157894084018e-08,0.0349994728317142,4,4,4,1,1,0,9.080315788168036e-09,0.0002021086070025,0.5714285714285714,0.1143665613606416,3,0.9999999966317716,Moderate-Risk Segments
73,22,0.0086038326163472,0.0923750174599171,0.0086038326163472,0.0602268283144309,0.2581149784904185,77.14403507117763,secondary,2.0,25.0,1,0,0,0,0.0007092928709042,4.651561765934815,4,4,4,1,0,0,0.0001418585741808,0.0268609951189761,0.5714285714285714,0.125086855762977,3,0.9986798068761358,Moderate-Risk Segments
75,43,0.0168165819319515,0.128608915401939,0.0168165819319515,0.1177160735236605,0.5044974579585452,81.50372482347102,secondary,3.0,25.0,1,0,0,0,9.49883216416758e-06,0.8052026868365374,4,4,4,1,1,0,1.899766432833516e-06,0.0046497384167392,0.5714285714285714,0.1161463695589831,3,0.9999999921256801,Moderate-Risk Segments
77,21,0.0078216660148611,0.0881108605116463,0.0078216660148611,0.0574892452092295,0.2463824794681267,150.4341452037667,primary,4.0,20.0,0,0,0,0,9.862827448281486e-05,1.504768961661341,3,4,4,1,1,0,1.9725654896562973e-05,0.0086894668432396,0.5714285714285714,0.1177693912849687,0,1.0,Intermediate Risk Group
83,25,0.0097770825185764,0.0984138147154795,0.0097770825185764,0.0684395776300351,0.2933124755572937,253.81341668065255,primary,4.0,20.0,0,0,0,0,0.0133483882604239,6.233305218178543,4,4,4,1,1,0,0.0026696776520847,0.0359949602876946,0.5714285714285714,0.129751569461626,0,1.0,Intermediate Risk Group
87,27,0.0105592491200625,0.1022342355463464,0.0105592491200625,0.073914743840438,0.3167774736018772,79.92365293207123,secondary,2.0,25.0,1,0,0,0,0.000170674492828,3.62478030683576,3,3,3,0,1,0,3.4134898565607584e-05,0.0209317238013088,0.4285714285714285,0.0941006291942355,4,1.0,Elevated Risk Corridors
88,54,0.0211184982401251,0.1438074932248073,0.0211184982401251,0.147829487680876,0.6269065310911224,21.559177211377477,residential,1.0,25.0,1,0,0,0,0.0,0.0,4,4,4,1,1,0,0.0,0.0,0.5714285714285714,0.1142857142857142,2,0.9999999487473032,Low-Risk Baseline
91,30,0.0117324990222917,0.1077004355343671,0.0117324990222917,0.0821274931560422,0.3519749706687524,79.45919669000962,primary,3.0,25.0,1,0,0,0,1.4299547355101083e-06,0.2410966713884477,3,4,4,1,1,0,2.8599094710202165e-07,0.001392241324364,0.5714285714285714,0.1148427252118387,3,0.9999999671417475,Moderate-Risk Segments
94,36,0.01407899882675,0.1178397695352901,0.01407899882675,0.0985529917872506,0.416503715291357,275.7305817526065,tertiary,1.0,25.0,1,0,0,0,2.9777872187830567e-05,1.658293233384086,4,4,4,1,1,0,5.955574437566113e-06,0.0095760109591513,0.5714285714285714,0.1181185008991498,2,0.9999999940105084,Low-Risk Baseline
98,30,0.0113414157215486,0.1059111649485041,0.0113414157215486,0.0821274931560422,0.3519749706687524,274.1073964034899,residential,1.0,25.0,1,0,0,0,1.1999698369624667e-05,1.3894935738640015,3,4,4,1,1,0,2.3999396739249336e-06,0.0080237954440897,0.5714285714285714,0.1174961924392197,3,0.9999998614623375,Moderate-Risk Segments
103,24,0.0093859992178333,0.0964444913587477,0.0093859992178333,0.0629644114196323,0.2639812280015643,130.45078030413174,residential,1.0,25.0,1,0,0,0,8.072497288402758e-06,0.7631833505143959,4,4,4,1,1,0,1.6144994576805516e-06,0.0044070927754156,0.5714285714285714,0.1160491971956636,3,0.9999999999938325,Moderate-Risk Segments
104,35,0.013687915526007,0.1162146221541063,0.013687915526007,0.0958154086820492,0.4106374657802112,79.95187441752103,primary,3.0,25.0,1,0,0,0,9.69745133083677e-08,0.0832623216526258,4,4,4,1,1,0,1.9394902661673546e-08,0.0004808081517662,0.5714285714285714,0.1144780453043818,3,0.9999999902259162,Moderate-Risk Segments
116,36,0.013687915526007,0.116214622154106,0.013687915526007,0.0969886585842784,0.4086820492764959,25.311787915972623,residential,1.0,20.0,0,0,0,0,2.721695098562016e-05,0.8456747553157129,3,4,4,1,1,0,5.443390197124032e-06,0.0048834491763889,0.5714285714285714,0.1162412713123487,0,1.0,Intermediate Risk Group
117,28,0.0105592491200625,0.1022342355463461,0.0105592491200625,0.0766523269456394,0.3285099726241689,86.8814954891243,secondary,3.0,20.0,1,0,0,0,0.0007895826782564,6.797476220078295,3,3,3,0,1,0,0.0001579165356512,0.0392528326520426,0.4285714285714285,0.1014785853893633,4,1.0,Elevated Risk Corridors
120,30,0.0117324990222917,0.1077004355343671,0.0117324990222917,0.0821274931560422,0.3519749706687524,117.52668986809104,residential,1.0,20.0,1,0,0,0,0.0005412399320496,2.791163899301353,4,4,4,1,1,0,0.0001082479864099,0.0161179069843714,0.5714285714285714,0.1207761762740268,2,0.9999999999987352,Low-Risk Baseline
132,51,0.0191630817364098,0.137124803215366,0.0191630817364098,0.1396167383652718,0.5983574501368791,866.9520057917429,motorway,1.0,40.0,1,1,0,0,0.015615787130085,2.5082833814538503,3,3,3,0,0,0,0.003123157426017,0.0144843798828285,0.4285714285714285,0.0927573006378239,4,1.0,Elevated Risk Corridors
135,90,0.0348064137661321,0.183325041612337,0.0348064137661321,0.2463824794681267,1.0508408290965976,158.85936957954533,secondary,2.0,20.0,0,0,0,0,5.084145260791928e-05,1.8354019631892695,5,3,5,1,1,0,1.0168290521583856e-05,0.0105987463255103,0.7142857142857143,0.1471007087035556,0,1.0,Intermediate Risk Group
