segment_id,total_crashes,avg_crash_rate,crash_volatility,pct_days_with_crash,avg_crashes_last_7_days,avg_crashes_last_30_days,avg_temp,avg_precip,avg_wind,crash_rate_rain,crash_rate_no_rain,segment_length,road_busway,road_living_street,road_motorway,road_motorway_link,road_primary,road_primary_link,road_residential,road_secondary,road_secondary_link,road_tertiary,road_tertiary_link,road_trunk,road_trunk_link,road_unclassified,kmeans_cluster,gmm_cluster
0,59,0.0222917481423543,0.1552909317570085,0.0222917481423543,0.161517403206883,0.6922174423152131,12.635705905357842,3.889949159170904,21.59225655064529,0.0291120815138282,0.0143702451394759,819.5016661477803,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
1,30,0.0117324990222917,0.1077004355343669,0.0117324990222917,0.0821274931560422,0.3461087211576065,12.635705905357842,3.889949159170904,21.59225655064529,0.0116448326055312,0.0118343195266272,268.1440952459794,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
3,108,0.040672663277278,0.2088031363688904,0.040672663277278,0.295658975361752,1.2671098944075088,12.635705905357842,3.889949159170904,21.59225655064529,0.0436681222707423,0.0371935756551141,291.83869462800163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
5,123,0.0457567461869378,0.2247266647354894,0.0457567461869378,0.3367227219397731,1.442706296441142,12.635705905357842,3.889949159170904,21.59225655064529,0.044395924308588,0.0473372781065088,552.4256905079891,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
8,20,0.0078216660148611,0.0881108605116464,0.0078216660148611,0.0547516621040281,0.2268283144309738,12.635705905357842,3.889949159170904,21.59225655064529,0.007278020378457,0.0084530853761623,86.27431578887493,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
27,26,0.0101681658193195,0.1003429714941982,0.0101681658193195,0.0711771607352366,0.3050449745795854,12.635705905357842,3.889949159170904,21.59225655064529,0.0080058224163027,0.0126796280642434,86.01085340862146,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4
29,59,0.0230739147438404,0.1501676671558921,0.0230739147438404,0.161517403206883,0.6922174423152131,12.635705905357842,3.889949159170904,21.59225655064529,0.0203784570596797,0.0262045646661031,81.61915885499333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4
30,30,0.0117324990222917,0.1077004355343671,0.0117324990222917,0.0821274931560422,0.3519749706687524,12.635705905357842,3.889949159170904,21.59225655064529,0.0094614264919941,0.0143702451394759,19.292136858252466,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4
34,59,0.0230739147438404,0.1501676671558922,0.0230739147438404,0.161517403206883,0.6922174423152131,12.635705905357842,3.889949159170904,21.59225655064529,0.024745269286754,0.0211327134404057,86.55482911524162,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4
36,60,0.0230739147438404,0.1539669752475254,0.0230739147438404,0.1642549863120844,0.7039499413375049,12.635705905357842,3.889949159170904,21.59225655064529,0.0269286754002911,0.018596787827557,87.48023112496006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
38,26,0.0101681658193195,0.1003429714941981,0.0101681658193195,0.0711771607352366,0.3050449745795854,12.635705905357842,3.889949159170904,21.59225655064529,0.0058224163027656,0.0152155536770921,267.0195791566417,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4
40,34,0.0132968322252639,0.1145650885249981,0.0132968322252639,0.0930778255768478,0.3989049667579194,12.635705905357842,3.889949159170904,21.59225655064529,0.0101892285298398,0.0169061707523246,153.18437731392902,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4
42,26,0.0101681658193195,0.1003429714941983,0.0101681658193195,0.0711771607352366,0.3050449745795854,12.635705905357842,3.889949159170904,21.59225655064529,0.0101892285298398,0.0101437024513947,239.74347624042753,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4
50,45,0.0172076652326945,0.1344554546837272,0.0172076652326945,0.1231912397340633,0.5279624560031286,12.635705905357842,3.889949159170904,21.59225655064529,0.0189228529839883,0.0152155536770921,273.3326739091509,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4
53,24,0.0093859992178333,0.0964444913587477,0.0093859992178333,0.0657019945248337,0.2815799765350019,12.635705905357842,3.889949159170904,21.59225655064529,0.0094614264919941,0.0092983939137785,17.094833498217778,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4
64,154,0.0582714118107156,0.2460367133879271,0.0582714118107156,0.4215877982010168,1.8068048494329292,12.635705905357842,3.889949159170904,21.59225655064529,0.0611353711790393,0.0549450549450549,96.32662400558569,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
65,30,0.0117324990222917,0.1077004355343669,0.0117324990222917,0.0821274931560422,0.3515838873680094,12.635705905357842,3.889949159170904,21.59225655064529,0.0094614264919941,0.0143702451394759,171.36273551488048,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
67,44,0.0164254986312084,0.1359526503372021,0.0164254986312084,0.1204536566288619,0.516229956980837,12.635705905357842,3.889949159170904,21.59225655064529,0.0160116448326055,0.0169061707523246,22.31490663086506,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4
73,22,0.0086038326163472,0.0923750174599171,0.0086038326163472,0.0602268283144309,0.2581149784904185,12.635705905357842,3.889949159170904,21.59225655064529,0.0080058224163027,0.0092983939137785,77.14403507117763,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
75,43,0.0168165819319515,0.128608915401939,0.0168165819319515,0.1177160735236605,0.5044974579585452,12.635705905357842,3.889949159170904,21.59225655064529,0.0174672489082969,0.0160608622147083,81.50372482347102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
77,21,0.0078216660148611,0.0945037534432158,0.0078216660148611,0.0574892452092295,0.2463824794681267,12.635705905357842,3.889949159170904,21.59225655064529,0.0087336244541484,0.0067624683009298,150.4341452037667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4
83,25,0.0097770825185764,0.0984138147154795,0.0097770825185764,0.0684395776300351,0.2933124755572937,12.635705905357842,3.889949159170904,21.59225655064529,0.0101892285298398,0.0092983939137785,253.81341668065255,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4
87,27,0.0105592491200625,0.1022342355463464,0.0105592491200625,0.073914743840438,0.3167774736018772,12.635705905357842,3.889949159170904,21.59225655064529,0.012372634643377,0.0084530853761623,79.92365293207123,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
88,54,0.0211184982401251,0.1438074932248073,0.0211184982401251,0.147829487680876,0.6269065310911224,12.635705905357842,3.889949159170904,21.59225655064529,0.0240174672489082,0.0177514792899408,21.559177211377477,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4
91,30,0.0117324990222917,0.1077004355343671,0.0117324990222917,0.0821274931560422,0.3519749706687524,12.635705905357842,3.889949159170904,21.59225655064529,0.0145560407569141,0.0084530853761623,79.45919669000962,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4
94,36,0.01407899882675,0.1178397695352901,0.01407899882675,0.0985529917872506,0.416503715291357,12.635705905357842,3.889949159170904,21.59225655064529,0.0145560407569141,0.0135249366018596,275.7305817526065,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4
98,30,0.0113414157215486,0.1112737903899696,0.0113414157215486,0.0821274931560422,0.3519749706687524,12.635705905357842,3.889949159170904,21.59225655064529,0.0138282387190684,0.0084530853761623,274.1073964034899,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4
103,24,0.0093859992178333,0.0964444913587477,0.0093859992178333,0.0629644114196323,0.2639812280015643,12.635705905357842,3.889949159170904,21.59225655064529,0.0080058224163027,0.0109890109890109,130.45078030413174,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
104,35,0.013687915526007,0.1162146221541063,0.013687915526007,0.0958154086820492,0.4106374657802112,12.635705905357842,3.889949159170904,21.59225655064529,0.0152838427947598,0.0118343195266272,79.95187441752103,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4
116,36,0.013687915526007,0.1211143422456183,0.013687915526007,0.0969886585842784,0.4086820492764959,12.635705905357842,3.889949159170904,21.59225655064529,0.0109170305676855,0.0169061707523246,25.311787915972623,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
117,28,0.0105592491200625,0.1077828024718799,0.0105592491200625,0.0766523269456394,0.3285099726241689,12.635705905357842,3.889949159170904,21.59225655064529,0.0116448326055312,0.0092983939137785,86.8814954891243,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
120,30,0.0117324990222917,0.1077004355343671,0.0117324990222917,0.0821274931560422,0.3519749706687524,12.635705905357842,3.889949159170904,21.59225655064529,0.0101892285298398,0.0135249366018596,117.52668986809104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4
132,51,0.0191630817364098,0.1453273143630859,0.0191630817364098,0.1396167383652718,0.5983574501368791,12.635705905357842,3.889949159170904,21.59225655064529,0.0189228529839883,0.0194420963651732,866.9520057917429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
135,90,0.0348064137661321,0.186425297990434,0.0348064137661321,0.2463824794681267,1.0508408290965976,12.635705905357842,3.889949159170904,21.59225655064529,0.037117903930131,0.0321217244294167,158.85936957954533,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
137,98,0.0371529135705905,0.1980381438216361,0.0371529135705905,0.2671098944075088,1.1302307391474384,12.635705905357842,3.889949159170904,21.59225655064529,0.0269286754002911,0.0490278951817413,1005.0822702134026,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
138,113,0.0426280797809933,0.2130395730289892,0.0426280797809933,0.3093468908877591,1.3210793899100508,12.635705905357842,3.889949159170904,21.59225655064529,0.037117903930131,0.0490278951817413,260.64449745498916,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
144,26,0.0097770825185764,0.1041690191071414,0.0097770825185764,0.0711771607352366,0.3050449745795854,12.635705905357842,3.889949159170904,21.59225655064529,0.0101892285298398,0.0092983939137785,77.79712268057604,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4
150,88,0.0328509972624168,0.1907191838510969,0.0328509972624168,0.2409073132577238,1.026593664450528,12.635705905357842,3.889949159170904,21.59225655064529,0.0385735080058224,0.0262045646661031,29.703389990132415,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
153,135,0.0508408290965975,0.2322514378365293,0.0508408290965975,0.3668361360969887,1.5569026202581149,12.635705905357842,3.889949159170904,21.59225655064529,0.0625909752547307,0.0371935756551141,544.5582799227994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
155,31,0.0121235823230348,0.1094590642928352,0.0121235823230348,0.0848650762612436,0.3637074696910441,12.635705905357842,3.889949159170904,21.59225655064529,0.012372634643377,0.0118343195266272,84.37955172018268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
158,132,0.0512319123973406,0.2230687983516846,0.0512319123973406,0.3613609698865858,1.54477903793508,12.635705905357842,3.889949159170904,21.59225655064529,0.0524017467248908,0.0498732037193575,77.96308031209274,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
168,55,0.0211184982401251,0.1477755946538342,0.0211184982401251,0.1505670707860774,0.6452874462260462,12.635705905357842,3.889949159170904,21.59225655064529,0.0232896652110625,0.018596787827557,277.34392815977816,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
169,77,0.0281579976535001,0.1820175436413461,0.0281579976535001,0.2107938991005084,0.9034024247164646,12.635705905357842,3.889949159170904,21.59225655064529,0.0276564774381368,0.0287404902789518,732.3925116321113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
173,130,0.0484943292921392,0.2301515900198622,0.0484943292921392,0.355885803676183,1.5252248728979272,12.635705905357842,3.889949159170904,21.59225655064529,0.0589519650655021,0.0363482671174978,530.5771113795411,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
175,112,0.0434102463824794,0.2065953336263083,0.0434102463824794,0.3066093077825577,1.3140398904966757,12.635705905357842,3.889949159170904,21.59225655064529,0.0509461426491994,0.0346576500422654,153.06370635551156,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
176,190,0.0700039108330074,0.2782419467380144,0.0700039108330074,0.5201407899882675,2.229174814235432,12.635705905357842,3.889949159170904,21.59225655064529,0.0705967976710334,0.0693153000845308,76.82084932298689,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
182,95,0.0355885803676183,0.1972725540150054,0.0355885803676183,0.2600703949941337,1.114587407117716,12.635705905357842,3.889949159170904,21.59225655064529,0.0356622998544395,0.0355029585798816,164.86679216464307,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
183,39,0.0144700821274931,0.1288038783745999,0.0144700821274931,0.1067657411028549,0.4575674618693782,12.635705905357842,3.889949159170904,21.59225655064529,0.0138282387190684,0.0152155536770921,273.0939943567042,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
185,193,0.0692217442315213,0.288290342618944,0.0692217442315213,0.5283535393038717,2.2643723113023073,12.635705905357842,3.889949159170904,21.59225655064529,0.0771470160116448,0.0600169061707523,134.66383270372506,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
187,63,0.0238560813453265,0.1600173484082533,0.0238560813453265,0.1724677356276887,0.7336722721939773,12.635705905357842,3.889949159170904,21.59225655064529,0.0291120815138282,0.0177514792899408,117.78029750909964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
193,80,0.0312866640594446,0.1741254324520731,0.0312866640594446,0.2190066484161126,0.9385999217833398,12.635705905357842,3.889949159170904,21.59225655064529,0.0283842794759825,0.0346576500422654,76.58671916305981,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
194,50,0.0191630817364098,0.1412861386846078,0.0191630817364098,0.1368791552600703,0.5866249511145875,12.635705905357842,3.889949159170904,21.59225655064529,0.0218340611353711,0.0160608622147083,236.89231060004397,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
201,297,0.1052014078998826,0.3563107198479199,0.1052014078998826,0.8130621822448182,3.483770043019163,12.635705905357842,3.889949159170904,21.59225655064529,0.1135371179039301,0.0955198647506339,124.46793373608818,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
204,104,0.0379350801720766,0.212822564735757,0.0379350801720766,0.2847086429409464,1.2201798983183418,12.635705905357842,3.889949159170904,21.59225655064529,0.0385735080058224,0.0371935756551141,533.3074069562776,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
