segment_id,total_crashes,avg_crash_rate,crash_volatility,pct_days_with_crash,avg_crashes_last_7_days,avg_crashes_last_30_days,avg_temp,avg_precip,avg_wind,crash_rate_rain,crash_rate_no_rain,segment_length,road_busway,road_living_street,road_motorway,road_motorway_link,road_primary,road_primary_link,road_residential,road_secondary,road_secondary_link,road_tertiary,road_tertiary_link,road_trunk,road_trunk_link,road_unclassified
169,77,0.028157997653500196,0.1820175436413461,0.028157997653500196,0.21079389910050841,0.9034024247164646,12.635705905357842,3.8899491591709037,21.59225655064529,0.027656477438136828,0.028740490278951817,732.3925116321113,0,0,1,0,0,0,0,0,0,0,0,0,0,0
173,130,0.048494329292139225,0.23015159001986224,0.048494329292139225,0.35588580367618305,1.5252248728979272,12.635705905357842,3.8899491591709037,21.59225655064529,0.05895196506550218,0.03634826711749789,530.5771113795411,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175,112,0.04341024638247947,0.20659533362630836,0.04341024638247947,0.3066093077825577,1.3140398904966757,12.635705905357842,3.8899491591709037,21.59225655064529,0.050946142649199416,0.034657650042265425,153.06370635551156,0,0,0,0,1,0,0,0,0,0,0,0,0,0
176,190,0.07000391083300743,0.27824194673801445,0.07000391083300743,0.5201407899882675,2.229174814235432,12.635705905357842,3.8899491591709037,21.59225655064529,0.07059679767103348,0.06931530008453085,76.82084932298689,0,0,0,0,1,0,0,0,0,0,0,0,0,0
182,95,0.035588580367618305,0.19727255401500546,0.035588580367618305,0.26007039499413376,1.114587407117716,12.635705905357842,3.8899491591709037,21.59225655064529,0.03566229985443959,0.03550295857988166,164.86679216464307,0,0,0,0,0,0,0,1,0,0,0,0,0,0
183,39,0.014470082127493155,0.12880387837459997,0.014470082127493155,0.1067657411028549,0.4575674618693782,12.635705905357842,3.8899491591709037,21.59225655064529,0.013828238719068414,0.015215553677092139,273.0939943567042,0,0,0,0,0,0,0,1,0,0,0,0,0,0
185,193,0.06922174423152132,0.28829034261894404,0.06922174423152132,0.5283535393038717,2.2643723113023073,12.635705905357842,3.8899491591709037,21.59225655064529,0.07714701601164484,0.060016906170752324,134.66383270372506,0,0,0,0,0,0,0,0,0,1,0,0,0,0
187,63,0.023856081345326553,0.16001734840825332,0.023856081345326553,0.1724677356276887,0.7336722721939773,12.635705905357842,3.8899491591709037,21.59225655064529,0.02911208151382824,0.01775147928994083,117.78029750909964,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193,80,0.03128666405944466,0.17412543245207318,0.03128666405944466,0.21900664841611264,0.9385999217833398,12.635705905357842,3.8899491591709037,21.59225655064529,0.028384279475982533,0.034657650042265425,76.58671916305981,0,0,0,0,1,0,0,0,0,0,0,0,0,0
194,50,0.019163081736409855,0.14128613868460788,0.019163081736409855,0.13687915526007038,0.5866249511145875,12.635705905357842,3.8899491591709037,21.59225655064529,0.021834061135371178,0.016060862214708368,236.89231060004397,0,0,0,1,0,0,0,0,0,0,0,0,0,0
